comment
以前用过，维稳效果很好，夏天脸容易晒红，觉得这个这会耐心是刚需。
闷，不是我要的，我想要补水的。
之前用过试用装~感觉效果退红的效果不错~就来买正装备用啦
使用B五霜至少三年了，再没有换过其他面霜，即使夏天用也不粘腻，吸收非常快。使用的三年中，脸上的黄褐斑不知不觉中淡了很多。
一直用这个牌子的，护肤水也是，对皮肤敏感的人用这个非常好用
好用的，第二次购买。质地厚实，。
保湿效果好，回购好多次了，质地滋润轻盈
黏，假白，没见过发白的面霜，特别油腻，
好用，不黏腻，味道还可以，喜欢的！
保湿效果好，价格便宜，正品就是很难推开 就过敏了用用还可以
还没试不过味道不是很好闻，听说要乳化使用
买得值，用着舒心，价格还这么友好。
很好用，多次回购了，皮肤粗糙缺水的时候勇气，一秒回春！
好用好用，小的用完换一瓶大的。一定要乳化再捂上脸
使用后出现严重过敏反应，脸部发红、发烫、爆痘，不得已去医院就诊。
它的质地比较厚重，适合不同的需求
保湿控油效果：好 质地手感：黏 滋润度：超好
长期使用效果还是非常明显的，不分肤质，也比较好吸收
理肤泉b5这款理肤泉b5修复霜，简直是敏感肌的救星！乳霜质地，轻盈不油腻，一抹就吸收。用完皮肤紧致又水润，泛红问题也改善不少。关键是，它温和不刺激，用着超安心。无论是日常维稳还是急救修复，它都能轻松hold住，真心推荐给每一位护肤达人！
很舒缓，我屏障受损严重，用着挺好
保湿控油效果：很好 质地手感：优秀 舒适度：好
一般，去红一般，要搓泥
有点像素颜霜，有提亮皮肤的效果，买了水光乳出乎意料的好用，就再买个霜试试
个人感觉修复产品做的不错价格也不算高
迫不及待使用，很细腻 非常滋润
回购无数次了，刷酸之后脸泛红用B5最有效了，巨保湿，油皮也爱
敏皮，这几天过敏爆皮，用了几天修复效果不错，我这么懒的人都评论了，讲真效果真心夯
霜用着偏干，不是那种润润的质感
保湿控油效果：Nice 质地手感：奈斯 质地手感：Nice
用了一周，皮肤屏障修护到位，不泛红了。
用后肌肤很舒服，一点不泛红，收货就迫不及待试了。
好用！冬天用更适合～
可以修复肌肤屏障，睡前厚敷，回购多次，值得购买，坚持会有意想不到的惊喜，以前换季过敏，用了以后就没有，太阳晒红以后厚敷都可以
用完皮肤确实变得细腻了。我觉得修复皮肤屏障，去痘印挺好的。 用完一支，又买一支大的。
减红效果明显
感觉修复功能也没有传说中的那么夸张，但也还过得去吧。
用完脸不干，保湿效果真不错，挺满意的一次购买。
敏感肌用特别合适，用起来特别舒服
屏障受损，逆光疹修复救星，比用其他修复产品好用太多太多了。莎莎推荐的产品最好用了
送给对象的 她很喜欢 相信大品牌！这次还送了三片面膜！
用着很舒服，不刺激皮肤。
不红了我的脸
保湿效果好，有很好的修复功效，很适合我
买过很多 干皮最爱
使用体验好，虽然有点厚重，但是很适合救急，保湿效果也很好，暴晒之后厚敷真的有效果
对于敏感肌经常回购，当面膜使用，敷十五分钟就擦掉
非常好用 从去年夏天开始一直到今年夏天 都在用 厚重但不粘腻舒缓保湿是👍
脸干过敏爆皮 就用理肤泉超级好用无刺激 是我的回购款 推荐
非常不错的产品，对皮肤的修复，改善起到保护作用，值得信赖！
用了确实有点变白了，挺惊喜的。关键对于皮肤尤其是敏感肌很友好，修复力很强。对我来说很明显。有段时间化妆+清洁，导致全脸红彤彤，跟猴屁股似的。不戴口罩根本不敢出门，后来通过豆包豆老师搜索指导，买了这个理肤泉的B5试试的，也没报多大希望，所以买的试用装，就15毫升吧？小小支的，就用了两次，就明显退红了。所以赶紧趁618大促，囤支大的，好好捯饬捯饬自己的脸。因为我还买了毛戈平的回春面膜，但它里面有含有酒精和香精成分，我用上去有点辣辣的，所以用之前先用理肤泉修复一下面部。五星推荐，很好用的一款修复产品。
本来脸好多了，用完更糟了又红又痒，好烦啊、怎么事
有点不清爽，有些黏。敏感肌用起来会有种糊脸的感觉敷二十分钟就要擦掉不然第二天起来脸会很油
保湿效果非常好，皮肤修复的很快，这次种草的还是满意的嘛
